name,price,calorie,salt
ロースカツ,350,427,2.6
味噌カツ,350,528,2.0
カツ煮,350,506,3.1
味噌チゲ,350,429,4.2
スンドゥブ,350,379,4.5
豚肉の中華炒め,330,349,1.0
チキンカツトマトソース,310,302,0.9
チキンカツタルタル,310,404,1.5
メンチカツトマトソース,310,424,1.9
ハンバーグデミグラス,310,288,1.8
ハンバーグおろしソース,310,272,2.1
テリマヨハンバーグ,310,342,3.0
チキン照り焼きソース,310,286,1.4
豆腐バーグきのこあんかけ,310,215,2.5
白身フライオーロラソース,260,478,1.4
豚の生姜焼き,260,269,1.8
豚キムチ炒め,260,185,1.8
チキンと白菜のクリーム煮,260,215,2.1
肉じゃが,130,132,1.1
野菜炒め,200,153,1.2
麻婆豆腐,180,160,1.9
春巻き,130,297,1.0
いももち,90,198,0.5
ひじき煮,70,52,0.8
冷奴,70,53,0.0
半熟卵,70,83,0.2
かぼちゃ煮,70,61,0.6
ほうれん草のおひたし,70,12,0.0
きんぴらごぼう,70,40,0.8
春雨サラダ,70,30,1.0
ポテトサラダ,90,74,0.6
マカロニサラダ,90,69,0.5
温野菜サラダ,200,97,0.0
カツ丼,450,826,2.9
豚丼,420,797,1.3
オムハヤシ,510,710,3.8
唐揚げ丼,420,752,2.3
鶏そぼろ丼,420,597,2.4
カレーライス,290,579,4.0
カツカレー,440,819,4.8
唐揚げカレー,440,791,4.8
醤油ラーメン,400,456,7.4
味噌ラーメン,400,499,9.5
まぜそば,500,569,5.3
坦々麺,470,662,6.4
塩ラーメン,400,403,8.1
かけそば,250,333,4.5
釜玉そば,350,533,2.7
かき揚げそば,350,486,5.8
きつねそば,350,494,6.0
ミートソーススパゲッティ,420,668,1.5
カルボナーラ,420,673,1.4
ライス小,70,221,0.0
ライス中,100,340,0.0
ライス大,130,459,0.0
ライスミニ,60,170,0.0
味噌汁,40,24,1.7
豚汁,100,72,1.4
コーンスープ,90,66,1.0
モンブラン,260,215,0.1
いちごのケーキ,130,87,0.0
チョコケーキ,130,98,0.0
ヨーグルト,90,49,0.0
